Altium Designer Pick and Place Locations
C:\Users\Wim\SynologyDrive\Drive\Electronics\Fri3D_2020_GameOn_02\.\OUTPUT\Pick Place\Pick Place for Fri3D_2020_GameOn_Panel_02.csv

========================================================================================================================
File Design Information:

Date:       06/06/22
Time:       15:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C5","CAP_CERAMIC","TopLayer","C0805_N","70.5000","126.5000","180","Capacitor Ceramic"
"C4","CAP_CERAMIC","TopLayer","C0603_N","54.4499","124.2001","270","Capacitor Ceramic"
"C3","CAP_CERAMIC","TopLayer","C0603_N","54.4501","121.1999","90","Capacitor Ceramic"
"C7","CAP_CERAMIC","TopLayer","C0603_N","40.2501","124.3001","180","Capacitor Ceramic"
"C2","CAP_CERAMIC","TopLayer","C0603_N","36.8501","124.3001","180","Capacitor Ceramic"
"SW7","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","169.7500","46.0000","0",""
"SW6","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","104.2500","46.0000","0",""
"R1","RESISTOR","TopLayer","R0603_N","132.2501","17.1001","0",""
"C1","CAP_CERAMIC","TopLayer","C0603_N","128.8466","18.7001","180","Capacitor Ceramic"
"R9","RESISTOR","TopLayer","R0603_N","127.7501","8.9999","270",""
"R8","RESISTOR","TopLayer","R0603_N","137.0001","8.9999","270",""
"P4","Header 4","TopLayer","HDR1X4","173.7300","12.0000","180",""
"R7","RESISTOR","TopLayer","R0603_N","128.8499","17.0999","180",""
"P2","MicroBit 180deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_180","137.0000","42.6050","0",""
"TP2","TEST_PAD","BottomLayer","TP_1.2mm","167.0000","37.0000","180",""
"TP1","TEST_PAD","BottomLayer","TP_1.2mm","107.0000","37.0000","180",""
"ENC1","Rotary Encoder with Switch","TopLayer","PEC11-4215F-S0024","100.0000","25.5000","180",""
"U1","5W Class D mono amplifier inducter-less Differential input MSOP8","TopLayer","MAX_uSOP8","137.5000","18.7500","0","=Description"
"SW5","5Way Tact switch","TopLayer","TACTSW_5W_K1-1506DN-01","112.0000","13.6000","0",""
"SW3","Default TH TACT","TopLayer","TACTSW","132.0000","9.0000","0",""
"SW2","Default TH TACT","TopLayer","TACTSW","142.0000","9.0000","0",""
"SW4","Default TH TACT","TopLayer","TACTSW","152.0000","9.0000","0",""
"SW1","Default TH TACT","TopLayer","TACTSW","162.0000","14.0000","0",""
"R2","RESISTOR","TopLayer","R0603_N","132.2501","18.7001","0",""
"R3","RESISTOR","TopLayer","R0603_N","163.5001","25.7501","0",""
"R6","RESISTOR","TopLayer","R0603_N","163.5001","24.2501","0",""
"R5","RESISTOR","TopLayer","R0603_N","163.5001","19.2501","0",""
"R4","RESISTOR","TopLayer","R0603_N","163.5001","20.7501","0",""
"P1","MicroBit 90deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_90","137.0000","40.3000","0",""
"P3","Header 2","TopLayer","HDR1X2","149.0000","18.7000","270",""
"J1","Micro SD PiPo Push-Push","TopLayer","TFP09-2-12B","172.0000","23.2500","90","=Description"
"F2","FERRITE","TopLayer","L0805","144.0000","20.5000","0",""
"F1","FERRITE","TopLayer","L0805","144.0000","16.9000","0",""
"C6","CAP_CERAMIC","TopLayer","C0805_N","144.0000","18.7000","0","Capacitor Ceramic"
"C5","CAP_CERAMIC","TopLayer","C0805_N","162.5000","22.5000","180","Capacitor Ceramic"
"C4","CAP_CERAMIC","TopLayer","C0603_N","146.4499","20.2001","270","Capacitor Ceramic"
"C3","CAP_CERAMIC","TopLayer","C0603_N","146.4501","17.1999","90","Capacitor Ceramic"
"C7","CAP_CERAMIC","TopLayer","C0603_N","132.2501","20.3001","180","Capacitor Ceramic"
"C2","CAP_CERAMIC","TopLayer","C0603_N","128.8501","20.3001","180","Capacitor Ceramic"
"SW7","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","169.7500","98.0000","0",""
"SW6","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","104.2500","98.0000","0",""
"R1","RESISTOR","TopLayer","R0603_N","132.2501","69.1001","0",""
"C1","CAP_CERAMIC","TopLayer","C0603_N","128.8466","70.7001","180","Capacitor Ceramic"
"R9","RESISTOR","TopLayer","R0603_N","127.7501","60.9999","270",""
"R8","RESISTOR","TopLayer","R0603_N","137.0001","60.9999","270",""
"P4","Header 4","TopLayer","HDR1X4","173.7300","64.0000","180",""
"R7","RESISTOR","TopLayer","R0603_N","128.8499","69.0999","180",""
"P2","MicroBit 180deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_180","137.0000","94.6050","0",""
"TP2","TEST_PAD","BottomLayer","TP_1.2mm","167.0000","89.0000","180",""
"TP1","TEST_PAD","BottomLayer","TP_1.2mm","107.0000","89.0000","180",""
"ENC1","Rotary Encoder with Switch","TopLayer","PEC11-4215F-S0024","100.0000","77.5000","180",""
"U1","5W Class D mono amplifier inducter-less Differential input MSOP8","TopLayer","MAX_uSOP8","137.5000","70.7500","0","=Description"
"SW5","5Way Tact switch","TopLayer","TACTSW_5W_K1-1506DN-01","112.0000","65.6000","0",""
"SW3","Default TH TACT","TopLayer","TACTSW","132.0000","61.0000","0",""
"SW2","Default TH TACT","TopLayer","TACTSW","142.0000","61.0000","0",""
"SW4","Default TH TACT","TopLayer","TACTSW","152.0000","61.0000","0",""
"SW1","Default TH TACT","TopLayer","TACTSW","162.0000","66.0000","0",""
"R2","RESISTOR","TopLayer","R0603_N","132.2501","70.7001","0",""
"R3","RESISTOR","TopLayer","R0603_N","163.5001","77.7501","0",""
"R6","RESISTOR","TopLayer","R0603_N","163.5001","76.2501","0",""
"R5","RESISTOR","TopLayer","R0603_N","163.5001","71.2501","0",""
"R4","RESISTOR","TopLayer","R0603_N","163.5001","72.7501","0",""
"P1","MicroBit 90deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_90","137.0000","92.3000","0",""
"P3","Header 2","TopLayer","HDR1X2","149.0000","70.7000","270",""
"J1","Micro SD PiPo Push-Push","TopLayer","TFP09-2-12B","172.0000","75.2500","90","=Description"
"F2","FERRITE","TopLayer","L0805","144.0000","72.5000","0",""
"F1","FERRITE","TopLayer","L0805","144.0000","68.9000","0",""
"C6","CAP_CERAMIC","TopLayer","C0805_N","144.0000","70.7000","0","Capacitor Ceramic"
"C5","CAP_CERAMIC","TopLayer","C0805_N","162.5000","74.5000","180","Capacitor Ceramic"
"C4","CAP_CERAMIC","TopLayer","C0603_N","146.4499","72.2001","270","Capacitor Ceramic"
"C3","CAP_CERAMIC","TopLayer","C0603_N","146.4501","69.1999","90","Capacitor Ceramic"
"C7","CAP_CERAMIC","TopLayer","C0603_N","132.2501","72.3001","180","Capacitor Ceramic"
"C2","CAP_CERAMIC","TopLayer","C0603_N","128.8501","72.3001","180","Capacitor Ceramic"
"SW7","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","169.7500","150.0000","0",""
"SW6","Tact switch, RA, 3,85mm","BottomLayer","TACTSW_RA_385","104.2500","150.0000","0",""
"R1","RESISTOR","TopLayer","R0603_N","132.2501","121.1001","0",""
"C1","CAP_CERAMIC","TopLayer","C0603_N","128.8466","122.7001","180","Capacitor Ceramic"
"R9","RESISTOR","TopLayer","R0603_N","127.7501","112.9999","270",""
"R8","RESISTOR","TopLayer","R0603_N","137.0001","112.9999","270",""
"P4","Header 4","TopLayer","HDR1X4","173.7300","116.0000","180",""
"R7","RESISTOR","TopLayer","R0603_N","128.8499","121.0999","180",""
"P2","MicroBit 180deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_180","137.0000","146.6050","0",""
"TP2","TEST_PAD","BottomLayer","TP_1.2mm","167.0000","141.0000","180",""
"TP1","TEST_PAD","BottomLayer","TP_1.2mm","107.0000","141.0000","180",""
"ENC1","Rotary Encoder with Switch","TopLayer","PEC11-4215F-S0024","100.0000","129.5000","180",""
"U1","5W Class D mono amplifier inducter-less Differential input MSOP8","TopLayer","MAX_uSOP8","137.5000","122.7500","0","=Description"
"SW5","5Way Tact switch","TopLayer","TACTSW_5W_K1-1506DN-01","112.0000","117.6000","0",""
"SW3","Default TH TACT","TopLayer","TACTSW","132.0000","113.0000","0",""
"SW2","Default TH TACT","TopLayer","TACTSW","142.0000","113.0000","0",""
"SW4","Default TH TACT","TopLayer","TACTSW","152.0000","113.0000","0",""
"SW1","Default TH TACT","TopLayer","TACTSW","162.0000","118.0000","0",""
"R2","RESISTOR","TopLayer","R0603_N","132.2501","122.7001","0",""
"R3","RESISTOR","TopLayer","R0603_N","163.5001","129.7501","0",""
"R6","RESISTOR","TopLayer","R0603_N","163.5001","128.2501","0",""
"R5","RESISTOR","TopLayer","R0603_N","163.5001","123.2501","0",""
"R4","RESISTOR","TopLayer","R0603_N","163.5001","124.7501","0",""
"P1","MicroBit 90deg connector Cylconn","TopLayer","MicroBIT_CYLCONN_SMD_90","137.0000","144.3000","0",""
"P3","Header 2","TopLayer","HDR1X2","149.0000","122.7000","270",""
"J1","Micro SD PiPo Push-Push","TopLayer","TFP09-2-12B","172.0000","127.2500","90","=Description"
"F2","FERRITE","TopLayer","L0805","144.0000","124.5000","0",""
"F1","FERRITE","TopLayer","L0805","144.0000","120.9000","0",""
"C6","CAP_CERAMIC","TopLayer","C0805_N","144.0000","122.7000","0","Capacitor Ceramic"
"C5","CAP_CERAMIC","TopLayer","C0805_N","162.5000","126.5000","180","Capacitor Ceramic"
"C4","CAP_CERAMIC","TopLayer","C0603_N","146.4499","124.2001","270","Capacitor Ceramic"
"C3","CAP_CERAMIC","TopLayer","C0603_N","146.4501","121.1999","90","Capacitor Ceramic"
"C7","CAP_CERAMIC","TopLayer","C0603_N","132.2501","124.3001","180","Capacitor Ceramic"
"C2","CAP_CERAMIC","TopLayer","C0603_N","128.8501","124.3001","180","Capacitor Ceramic"
